Mass_RT	 C842	 C1030	 C1131	 C1133	 C1171	 C1204	 C1222	 C1229	 C1238	 C1306	 C1317	 C1331	 C1336	 C1366	 C1453	 C1520	 C1538	 C1539	 C1548	 C1556	 C1564	 C1768	 C1782	 C1937	 C2002	 C2158	 C2188	 C2218	 C2226	 C2249	 C2259	 C2275	 C2284	 C2289	 C2296	 C2310	 C2312	 C2318	 C2319	 C572	 C578	 C615	 C624	 C628	 C636	 C668	 C726	 C756	 C772	 C791	 C820	 C841	 C877	 C904	 C947	 M796	 M1044	 M1078	 M1104	 M1116	 M1120	 M1145	 M1147	 M1176	 M1202	 M1223	 M1239	 M1272	 M1294	 M1309	 M1322	 M1344	 M1361	 M1380	 M1518	 M1558	 M1605	 M1680	 M1682	 M1689	 M1787	 M1794	 M1843	 M1860	 M1884	 M1986	 M199	 M2050	 M2058	 M2105	 M2126	 M2178	 M2195	 M2220	 M2253	 M2258	 M37	 M393	 M489	 M516	 M538	 M539	 M637	 M759	 M803	 M881	 M908	 M913	 M962	 M996
187.0841_0.77	77139.90007	80853.01028	63760.01788	64060.68529	53444.77872	68835.70546	66298.67473	53384.92044	55791.49972	72523.82738	63459.76529	66311.59307	44825.01041	80242.05958	89948.06912	53918.98302	46626.69733	60933.5846	62337.08966	161248.1978	92564.71346	73192.45419	98093.71054	83015.42368	37657.49588	83138.1906	51285.15119	53359.32832	70568.44041	68107.62401	53725.49994	50109.58652	56486.08239	77374.63195	76422.02988	119349.513	40980.33199	63992.21501	51933.16048	77721.59124	71065.43851	59259.60606	85395.25166	27754.72233	71005.5195	88488.04472	68519.25249	52268.74848	91787.41203	70220.37892	63851.07305	61851.62889	49656.66961	72724.08229	56940.79331	44085.39354	80973.35615	86035.40682	84108.93444	96882.21155	52624.35783	74629.46182	62559.33961	53447.29321	85189.67231	54165.76603	54590.81456	89675.67479	66207.95053	44953.85047	66158.10682	65913.14213	63600.9303	84010.66506	72642.86516	52709.96394	65294.64113	86854.56497	43170.23378	79486.37129	42759.57097	59007.50732	63353.51607	74316.49366	72662.15508	62719.10116	67608.27234	70495.0582	88596.12698	95028.27713	67593.63665	63495.45035	72398.24304	54210.28148	59808.79843	71739.73362	45881.79056	28750.68586	70666.02393	71788.30651	57627.42259	51920.84816	112862.463	58978.2618	58396.31822	35514.63208	64924.00926	70043.0142	45615.3291	48724.36235
116.0282_0.81	39717.38912	22232.17839	15235.2509	14696.57448	66789.53863	32646.46146	93012.30587	41651.1848	8170.242234	20451.33602	62797.71785	27375.6619	15093.57806	16708.11638	20992.20543	24938.77102	48952.17002	25735.33689	11346.13317	19260.19477	37241.9314	41309.63684	18330.58464	15351.5599	9612.081797	11858.19003	109690.6559	23485.36063	18592.96147	13835.71511	20316.86618	7193.733234	4725.570011	29320.91159	43121.56186	48393.77279	18060.49515	6172.350965	29197.95601	23287.47392	5631.320332	22836.06495	13067.82163	38992.8104	19157.08834	18013.51227	52726.68279	6677.430147	16328.68875	11416.40122	22448.91396	17994.85262	18492.07738	21425.11163	24897.09454	37125.23547	13381.56717	7501.843252	12908.84004	16149.58152	46349.40481	5103.6548	16795.7833	23457.39936	12122.14068	47098.74758	40036.36392	13863.299	52215.46347	5368.842141	16192.36519	10121.54636	19447.36151	8613.403718	15871.53144	10066.09491	7713.582948	58894.89678	14832.90525	28874.60308	14418.74627	17779.93651	16328.10326	20057.97418	16856.7773	7156.536143	9151.404706	15879.53435	36405.63038	17674.7389	32621.53936	19600.24111	20235.68262	17203.28918	124480.7484	32929.71353	19134.27227	5901.735222	10342.93779	15000.90619	10183.85009	40817.38772	16952.32989	10634.80873	21068.59356	3752.620864	9656.582899	8694.384145	41865.21696	13879.00345
981.5876_7.97	50315.31427	44552.98378	29144.51596	42293.33701	42449.79995	42304.11353	57516.17966	53575.31921	54803.64971	33411.27441	55462.87611	43386.33823	38245.06683	41159.80409	41904.74188	43985.42171	43760.37874	50403.77955	27041.71961	45247.57528	37969.10709	42615.4295	62360.76314	33562.2845	29559.11268	46623.25565	52084.82099	40738.1759	32005.06313	40434.16171	35473.14869	24957.09164	47900.88804	52192.17068	42455.29144	38884.98102	38757.93367	33908.10795	30641.18751	35061.05806	34901.74765	50725.91754	39293.5839	44224.06264	39822.97943	34952.47104	62499.05853	47124.3233	48170.63559	58164.25233	55337.97053	38963.71446	43764.97002	40821.47233	57449.79682	44828.45086	32100.60794	36502.46092	41900.79925	57908.63196	39815.14547	33363.27108	34816.04824	40603.2298	49014.06959	42112.60538	54593.09131	40213.12823	51371.76976	46437.03126	50348.97589	42441.26417	49137.89839	42961.23107	55278.69765	35354.93579	48114.48707	42078.75894	38847.6179	51803.20919	44852.6045	52282.97635	33024.11522	46598.26995	48537.64353	32448.81914	47596.52745	59186.62589	46628.54431	40992.08757	45866.95823	50474.70085	46205.75217	31797.12905	35235.93728	41112.52112	39699.63199	40800.99825	32284.15221	31674.11108	44108.0769	43791.35179	42656.69462	40166.918	38566.57452	32632.2116	41089.13949	42576.25597	23934.4293	45649.07847
612.5325_3.53	47676.29426	32601.89823	37177.91398	22850.71236	28475.29769	21737.78961	31064.45137	39579.07819	21649.39334	36618.44411	23306.22659	35837.72694	23576.95037	28453.12494	28706.71584	50395.15017	34998.14157	34071.28149	76111.06822	31387.4597	41402.70838	36018.09383	66983.72245	50694.52447	44143.42617	15758.02054	32582.44691	27659.11627	56506.892	66202.88233	45525.36666	37594.95265	24667.95395	41699.64102	43627.00673	84178.81709	42324.07865	66868.35438	30195.78666	28292.54272	58242.2369	32584.71626	6533.530647	33599.35079	22652.2989	35956.17729	33154.33642	65790.19823	31304.94478	19983.27661	44408.56809	33082.83413	34733.05496	24951.82233	20182.44969	54786.79188	20318.25655	65244.2043	39815.60215	24384.54967	43219.29459	48682.14881	26097.19336	59391.36613	51830.74606	29019.7283	36538.7768	74750.87574	44929.23377	13720.14902	29688.54141	21087.0902	34710.96148	39158.10774	23526.43102	34056.73759	28444.22851	30156.39229	35212.56906	15395.46485	73109.41034	11974.27742	34731.64447	36338.954	53799.89162	48800.81494	39131.99605	49934.31759	38246.58418	25960.58385	50699.11073	53536.75143	46597.01487	50740.38761	61380.69211	29825.5876	11212.27346	52468.44447	36422.17732	37892.50103	18456.87997	54331.49996	28568.71584	35742.87906	50561.9548	31227.46422	30807.70953	5461.539293	35649.65266	28431.72226
143.0559_0.81	8697.03994	7529.139464	8063.825948	8451.362877	14796.91907	10033.98842	15127.20003	10113.65814	5327.810542	7090.832666	13716.60355	12143.85747	8507.746087	6755.624071	6253.351791	10361.15092	11761.47091	10024.64146	9501.78932	7423.304174	10327.24762	9591.778699	7373.344665	9261.624039	6348.856109	8545.596735	19149.36957	9594.857829	9019.987426	7162.817356	9429.226203	7615.997883	6485.78632	9585.773526	10937.82882	9283.560145	8621.758086	5845.845669	8600.573679	8156.363466	7053.160022	10394.91423	8365.240323	16575.38515	8432.045059	9057.507593	13634.03457	6323.485614	8770.847704	6858.781424	9433.246036	8864.591847	7769.473527	9629.697597	9589.095007	11490.30767	7164.946111	5610.048351	5823.953718	6453.252879	11769.29708	6099.851137	7566.240526	9169.687949	6799.745928	12802.54529	10875.84455	6508.964031	13127.50609	6252.545869	6911.474126	7459.071709	8560.617403	6766.327789	7618.516332	8362.470456	6104.804538	15339.6228	7743.869519	11880.62722	8746.660858	8572.564593	8667.655959	9581.39439	8282.108055	6875.515798	6556.066406	8489.525338	9863.263081	6608.91244	8790.415798	7843.22297	8486.77475	8216.2299	19192.7423	11298.0633	9665.172096	8953.254109	5379.688212	7071.595357	7187.297908	12703.74636	7626.478879	6449.911636	7825.625359	6284.438625	5896.161529	7546.732106	11815.55375	7080.144515
206.0586_0.82	17701.43502	9868.27446	9161.158201	12241.2029	28829.52927	16547.01335	27582.89563	15803.62807	6577.707998	9866.349232	25171.7129	16119.77151	9915.454711	9220.41558	7961.001062	14512.06189	20324.20843	14307.40187	13191.56525	8126.102601	20074.40275	16718.67243	10184.79766	9448.927137	6680.038734	9427.063248	34919.83922	14008.13919	12631.03348	8302.855407	15533.01614	6339.804876	6100.966528	13677.01912	18745.55175	18093.6035	10572.6392	6614.472798	13773.74639	14112.084	5644.818632	13414.58313	12166.88862	23604.1609	10659.94801	13803.1004	24765.85961	6288.38761	11117.21435	8857.72716	13703.01975	12061.73719	9386.322844	10492.82378	15572.48677	17748.67192	8334.375684	6010.728136	7283.279148	8876.98095	20505.30133	6939.283352	10976.90958	15200.1994	7258.835292	20589.3639	17808.56347	9608.430106	21643.20746	5964.803424	9239.366086	7865.784557	15617.88555	5970.595874	8075.510197	10183.46327	5634.183343	29422.95928	10524.41133	16634.70095	11762.80783	11690.93358	12676.63192	11725.44531	11788.51892	6738.093483	8579.576551	9494.773179	14438.91834	8571.216653	16083.78319	11402.79247	10981.78074	10110.41588	40346.01346	17873.65212	14238.16865	10353.34521	6879.81326	7679.194077	7627.31938	21851.45283	9753.122947	7549.629279	11178.77984	5080.09345	6667.457224	10287.41923	20493.89142	9829.125851
143.9746_0.92	37288.8906	29342.34315	28810.87978	30416.63264	48302.50425	38974.93705	45395.09421	41396.32725	23641.96215	30101.65647	45861.74713	35097.44056	32036.31341	27107.01909	28442.51845	37557.06142	43244.33185	34029.5783	25525.91019	22463.49362	36141.45063	36982.90597	26619.49818	27708.97141	27698.20353	26068.33578	54292.48257	33651.66404	31018.25182	26331.4965	36574.63303	22033.57938	21951.78635	34116.62228	38622.34337	34083.90862	35462.92448	22795.18511	38414.5418	31569.51165	21085.15903	35327.30805	25168.81825	47369.68497	29674.00342	30274.77541	42173.34764	23961.07572	27402.86788	25021.25851	34631.47057	31976.10793	30498.19702	28951.14732	34189.04657	44264.51726	24449.91358	21883.79568	23795.92058	26030.95403	44314.33467	21212.39867	30277.23475	35679.72805	23792.95452	44042.02661	40883.37769	24478.43209	42865.78812	21901.46884	27237.33927	23292.50267	34522.21234	22639.54037	26065.87429	30358.96465	21637.68549	45808.83617	33251.63055	33497.8994	34709.15232	31039.74684	29128.7378	32661.72429	29292.32635	21999.48256	24319.25192	27654.83826	33749.53028	27029.22515	36263.1854	34228.71111	30248.59286	31849.95251	57594.61324	35749.73964	35075.38836	29551.06119	23882.23628	26467.12267	26959.39647	44420.75155	24509.04079	25092.00811	33697.21517	19316.01241	24215.77741	22810.77644	41984.52366	30451.09783
136.0366_0.81	77663.8677	42233.58131	39930.4943	44136.40425	101069.3101	67119.72963	115232.1477	72759.41592	31018.23403	48062.52775	94317.99607	53400.70368	37588.32673	45184.75757	53871.28204	53018.43072	74091.5389	55523.78393	39304.83786	51628.4949	70639.6195	70790.94574	45509.96065	44997.12311	27550.16442	41811.38229	131840.2985	52884.54508	45308.44367	41848.10853	50044.96393	29488.1336	23438.74122	63152.37758	81662.89136	95593.64964	43875.87926	34309.264	59715.16808	54077.14492	28455.75997	53077.33322	38134.84011	60964.39007	49870.07541	50022.43228	87800.76829	30844.4127	46037.70792	35606.6094	54233.25429	47032.92504	43013.12746	47839.65111	51122.00913	68606.69181	33533.43691	32371.15912	39617.61122	39436.79721	79361.62138	29763.20415	44541.48104	51859.60833	37952.38956	77216.3694	76403.33345	37044.84304	84020.19063	31534.08147	36272.968	33800.65873	54724.89456	37239.00017	41655.17745	34676.87923	28714.20507	93685.74553	38657.81096	58837.6949	39938.81083	44198.68466	44841.07988	50415.84549	42120.16975	37367.84397	33671.32395	46426.76383	61254.37126	48560.71793	66482.94385	42504.37416	47529.59502	46317.02722	135285.9313	68384.96608	40606.15649	28892.50144	36195.95391	36967.06584	32512.72339	74154.7877	48166.48841	32555.67804	50001.32705	24052.88287	31419.83387	39232.64341	64455.39363	43857.49933
701.6085_12.2	45775.08755	39037.17134	29881.48287	55598.42633	36477.41318	36496.85691	45588.22098	44543.64489	42629.18997	35341.40861	53556.91919	43412.98774	51306.58594	47156.94344	43842.17071	33820.84203	36799.23068	39628.34268	49700.60561	37594.2413	42806.7223	45132.39632	56943.49888	41498.92763	32344.41412	26781.9633	34843.69714	34643.19431	26072.39621	31386.05587	44704.89359	35272.20928	40050.1488	36052.36121	28661.12395	40722.5422	41855.36453	34965.84954	39266.75175	37258.4152	41191.23347	33295.01498	43056.34774	48057.27378	33631.29611	34075.4938	37237.45775	46657.86814	39889.1135	42944.19697	42240.08299	27848.68875	32606.29347	36608.77526	51824.21488	51086.50525	39736.1257	31523.35072	42193.95453	37684.2752	44151.98438	30866.20136	35196.86385	37159.46969	42333.69073	56091.4635	54714.48026	45991.81404	40413.14112	54177.74827	45398.16749	37805.17608	44387.17596	39662.85799	30250.69297	30351.28682	52343.58401	52672.98331	39148.85592	42475.17051	49554.63077	29997.21784	35210.51661	37218.16269	40752.30143	31793.33377	41016.1992	48749.8178	56221.23408	35774.21397	36659.38567	43270.26631	34953.41061	37697.25761	42865.51259	30584.44306	31468.79604	35891.07616	29616.09284	32760.8251	36447.68517	32061.48788	39683.57624	44970.33348	38990.58344	30470.27499	29504.52821	31099.48795	20989.48844	30385.25124
693.6241_12.1	17141.99713	12341.5278	8962.813427	21373.85461	10959.92715	11271.14192	16819.9263	21412.28638	16428.22319	12219.63726	21470.24391	14428.76489	17813.04949	17828.85938	14251.48596	11374.48706	14832.49537	12566.34198	13870.09863	15042.847	16884.57427	16143.11477	19568.44805	10161.40384	9229.786181	8900.828609	12882.73178	10855.95043	6478.806443	9039.85167	16464.7345	12355.66742	14341.64011	14133.8385	9694.296477	13613.10171	15088.34352	12602.16394	12174.52514	17800.14988	13387.5777	11112.66949	13525.80111	19311.62858	11260.32337	9373.438057	11542.11069	19601.59961	11385.83228	18539.0258	15084.1566	8411.537864	10650.93324	13491.04643	22418.7352	17947.46081	14300.17885	9543.779962	15594.16449	17194.16959	17493.579	10930.82031	11520.632	13358.73868	13933.86845	19588.68445	22195.83164	14999.19364	12530.32498	22925.15423	17291.37878	16284.19795	15500.37703	14339.92821	9637.20257	9819.485096	18876.91569	21104.34624	13493.9538	15243.33667	16752.90028	9917.410373	10614.4348	10431.88119	16931.01531	11002.22766	14088.35168	17307.44791	19391.56963	11168.55047	13446.91165	17058.33754	12228.37387	11999.89392	9890.165404	8221.204709	9939.774731	10491.80708	13474.94821	9755.041057	12348.99797	12567.92879	11978.56604	18051.22493	14289.95355	10559.41094	11146.22676	10282.64182	6355.598683	11989.53002
