Mass_MT	 C1030	 C1131	 C1133	 C1171	 C1204	 C1222	 C1229	 C1238	 C1306	 C1317	 C1331	 C1336	 C1366	 C1453	 C1520	 C1538	 C1539	 C1548	 C1556	 C1564	 C1768	 C1782	 C1937	 C2002	 C2158	 C2188	 C2218	 C2226	 C2249	 C2259	 C2275	 C2284	 C2289	 C2296	 C2310	 C2312	 C2318	 C2319	 C572	 C578	 C615	 C624	 C628	 C636	 C668	 C726	 C756	 C772	 C791	 C820	 C841	 C842	 C877	 C904	 C947	 M1044	 M1078	 M1104	 M1116	 M1120	 M1145	 M1147	 M1176	 M1202	 M1223	 M1239	 M1272	 M1294	 M1309	 M1322	 M1344	 M1361	 M1380	 M1518	 M1558	 M1605	 M1680	 M1682	 M1689	 M1787	 M1794	 M1843	 M1860	 M1884	 M1986	 M199	 M2050	 M2058	 M2105	 M2126	 M2178	 M2195	 M2220	 M2253	 M2258	 M37	 M393	 M489	 M516	 M538	 M539	 M637	 M759	 M796	 M803	 M881	 M908	 M913	 M962	 M996
201.9635_8.75	2340.218762	775.5514911	838.7056068	1027.628724	325.6905142	1172.462657	769.0276111	1294.918937	1808.780715	1051.051746	1620.810501	881.2673241	915.1795143	1558.455418	1062.66947	2109.386029	1222.945942	303.8283266	1034.769936	1188.3643	2055.881007	994.1567466	884.075062	819.2385209	1160.719238	1272.682752	1768.021661	1359.67938	994.0410992	1077.385216	722.7236987	787.5122717	1242.402227	1370.198735	1242.428601	552.6886227	727.0069883	993.7807767	2738.587997	540.3467435	433.0698772	963.2582139	1039.216448	493.0760589	661.9835967	1143.677476	975.2055873	725.7353254	1542.754577	1095.803241	832.6438862	800.9343574	1191.729434	719.5366095	893.3690724	1922.859494	1527.999576	572.0963674	786.1931172	702.2285016	1614.68201	1199.920384	1382.145723	2691.713218	1118.778129	1510.097116	608.4687784	2363.115661	781.4160034	1753.994471	1435.098382	2341.492714	651.2727015	1041.610245	422.3215854	859.7814589	930.0389353	1043.297008	1451.977012	914.3222296	662.5520504	984.0755073	1134.769868	933.766011	1464.007745	745.4693385	470.4835102	725.5743642	587.3161918	1644.907368	838.7325879	1242.560812	677.646844	1407.779553	1007.257427	1852.707674	1046.640673	1271.415962	196.7623426	807.5618615	1321.195005	1036.7123	1572.001716	1415.674588	1029.65112	2079.498126	2679.999703	600.3611644	1122.56441	1070.306699
160.0222_8.51	50405.12013	26433.25452	32862.5415	29741.846	17342.6777	20250.93462	21879.9508	27583.3509	39620.54651	31879.27593	36384.51792	25998.40014	31563.64936	26913.86102	27548.00364	57415.47386	25802.37373	15934.54927	24011.42493	34207.55621	31048.23311	23772.91226	21015.18967	22154.10638	33212.78051	20119.78144	28587.18476	33852.59836	29174.77835	28524.04527	21200.25492	21490.84476	33389.836	24831.71099	23167.54647	19105.61568	21256.0719	26054.2604	37197.99845	19351.76318	19400.21963	29952.20147	22729.64991	19532.4296	19387.22361	30349.29106	26402.38979	25076.08807	41253.76544	29584.95775	29699.23577	19518.58358	30347.79421	17893.20479	23848.62158	42718.91019	43492.40894	19853.20724	23631.46038	23092.59884	25767.28426	29019.51272	33404.52437	50521.62396	23218.77541	30071.55305	22849.35495	56580.21963	24261.39226	28859.8858	29929.45195	57367.43404	16552.66266	27756.88089	18529.9523	17484.74707	25592.48799	25113.32949	40656.32758	22745.64517	20739.50037	31159.93749	31706.26776	25842.41438	25230.31829	27778.82555	16190.66284	25242.70696	21267.34757	39116.12477	23178.13428	23950.9922	20393.26238	32673.91005	28337.84038	27847.42173	28419.12877	36196.90255	33523.53193	21131.43762	32325.36166	22145.02535	36176.13315	41870.8252	28186.37507	27758.61862	23459.16324	18408.70328	36787.45711	26523.61818
178.033_8.51	55449.80054	30465.63386	35445.44304	34460.54747	20238.89914	23479.28023	27060.75146	32309.53397	44291.48851	36710.75653	41069.73456	28687.95793	34473.04172	31697.59426	31849.81973	61462.36237	30107.38387	19719.0843	28257.62319	38678.08401	35110.08692	26922.20102	25348.54184	26565.23011	38209.64718	24444.22399	31875.0047	38574.58874	32748.59409	33177.56618	25616.69147	25257.99527	38530.17739	28508.76578	27133.32034	21861.58633	24202.54072	30309.27417	42143.98042	22046.88609	23006.23672	34188.54395	26065.48055	23183.64979	22836.5555	35158.27216	30531.50769	28624.69195	46704.61044	34091.95449	32862.01539	24245.2775	34963.11896	20695.34185	27163.12866	47169.52876	48691.69371	23425.81137	28367.93622	27218.33344	29300.14636	33795.14029	38277.11252	56065.73645	26700.84154	35220.8501	26116.03198	60501.81508	28766.46572	33534.04036	34515.80315	62667.29408	19884.81909	32461.07276	21038.44768	21352.44592	29837.99644	29541.57003	46785.47131	26818.20199	24360.09168	36192.50315	35257.05229	30630.02213	29700.51735	31929.72475	18974.45733	29291.37955	24920.16055	43006.54304	26535.16527	27725.23437	23328.11316	37098.89783	33393.62639	31736.33174	31923.00432	41005.25702	38924.9332	24830.97152	36537.54224	25284.87812	40999.61131	47062.42442	33205.23957	30663.84708	28070.30228	20915.34021	40146.35767	31437.65418
175.0669_16.36	3722.785754	1070.051003	2821.314116	1279.946416	809.3095907	2193.167711	2014.901908	2468.323744	1784.870437	1366.084539	4072.07516	1521.813901	3133.509449	2184.124458	1164.820677	1816.739915	2619.374307	6290.461846	4277.357744	1242.864609	3627.915323	3634.454997	1088.480405	1658.302486	1036.102027	7615.769593	2734.29655	3637.201018	5906.747221	4091.029521	14885.24146	5732.190893	2399.747138	2822.853361	1119.840465	2496.674498	971.6242874	5570.934259	2946.241612	7323.17048	2039.997833	1722.771639	10612.83265	1506.09845	17408.27483	1045.361841	1723.023093	1246.516884	3240.787996	1581.548215	2512.090645	4276.978037	1417.491031	730.7357604	2098.55601	2491.948077	560.695378	670.7708586	4263.493745	2402.316257	1765.302666	2368.525237	4397.528161	1993.992386	1115.936108	3729.871391	6800.935493	533.5319062	2194.48783	1904.559201	3044.032065	1115.039316	2976.410778	2746.333425	4398.326994	1402.290457	924.9545163	2748.465653	2340.133225	7505.260414	1122.027176	2088.047604	2807.793982	1865.183958	2272.685529	4004.180077	1392.176576	1039.408648	5476.141216	2425.636623	1250.03768	1899.253579	4470.629483	2473.709928	917.9566592	6114.080203	5266.275455	2366.478846	3186.600205	1922.982245	2732.278388	2995.025062	5272.769058	1474.106052	1420.184831	7283.939495	980.9157938	4826.730439	1824.989349	614.3236421
958.9572_7.55	3819.259297	4312.428379	4072.250138	4209.825457	3948.98848	3453.548845	4374.503147	4150.163327	3628.487566	4241.24472	7194.202076	4749.251786	3532.384621	3666.941294	4091.897236	3054.659485	4804.411711	7503.660338	5524.434018	4693.37629	3355.549086	3674.359847	6114.505329	3932.096612	5183.92303	4780.836277	3152.035825	3871.721772	4635.331345	3610.15875	6636.091453	6408.325297	5154.570654	3945.051345	3792.331156	4627.129942	3683.972514	5262.660997	2857.265688	4866.202422	4407.023195	3187.17468	4632.760389	4581.895179	5221.199695	3520.276056	4273.184685	4127.671484	5156.360489	3585.687496	3584.243608	6926.291329	3649.618071	4277.634015	3350.615528	5392.179918	4269.284795	4428.303667	3689.141641	5378.231008	4060.645604	3655.366643	4548.790095	5309.314093	4687.009163	3609.630051	3954.326563	3404.04751	6249.364389	3272.047783	6122.597322	3995.470694	4720.753235	6248.099026	4027.807699	5459.183543	5505.457267	4149.351351	4145.872451	4345.756053	3536.057574	5758.513817	4213.848468	4119.917517	5727.17289	4030.983469	4922.016254	6170.024797	4661.571932	3407.483505	3612.416162	3534.685932	4422.303363	5083.60813	4123.835824	3212.042029	5153.591317	3988.602947	4395.234901	4087.023349	3710.605963	4669.56987	3592.768514	4759.297122	3989.753941	4721.917664	3622.255438	4522.032397	2993.101813	3736.884197
221.0904_21.24	11602.23584	29444.75486	15836.54147	12226.90615	30625.11993	28383.14152	12162.53236	12983.14129	8843.098399	11253.05689	10392.21183	15216.88016	16331.00484	13043.26244	13015.20134	14092.95351	9127.471029	9753.032409	11493.43136	9921.828635	8974.905338	18920.76346	11965.28834	10711.38284	9781.499891	12366.47848	18781.91567	10613.97206	10033.47547	9892.030087	11893.424	9345.882731	11279.55859	12056.04345	19773.23257	25571.50144	8159.855165	9930.067059	6870.941143	18409.00201	20556.35123	11330.3319	6793.849439	20428.93322	38474.95496	11322.36076	9597.803118	26639.15603	13405.43395	14043.97799	11817.74002	6770.029113	14934.94708	26115.28925	11122.64385	11945.65138	11892.51734	31891.21627	15165.91362	11479.14146	14564.89888	13534.91749	9746.790091	11252.47969	10600.07352	13331.43311	15468.12395	14842.0025	8679.563671	15634.9493	8354.354385	10585.41595	21236.1716	9523.503097	32067.18046	11908.23118	9766.945321	7806.686655	9367.786275	16884.44152	18695.24492	11277.15718	27900.37532	8032.556313	10468.69141	11123.73902	24097.8899	11441.603	24211.16057	12987.24294	21893.12096	16793.54742	20023.24836	11903.51953	11406.59886	5956.341684	18487.22695	8175.461736	11457.31936	14310.7679	12926.28431	10845.95705	7049.087805	12144.74374	10734.93817	22718.08273	12567.29546	7774.363623	14849.05736	14698.53489
129.0425_21.28	42565.90942	52601.92035	34201.76751	47153.52461	48928.78636	46304.16437	31319.30169	33415.2225	33666.0267	37008.86082	38516.07827	26422.47638	33436.1945	48651.21216	42468.39385	48793.17128	39475.71509	35674.46129	36273.67124	34484.40418	29666.39051	43705.58527	40852.65257	33999.62125	38792.33801	46409.07237	54056.5454	35826.8173	34145.7554	36977.69856	45425.74729	31826.50599	44829.69852	38709.01948	59538.60632	44487.44996	23966.76183	34780.52659	28204.38823	35515.11109	29758.27614	39755.50827	21836.23766	30244.83656	57001.97561	41365.5339	31965.47124	60814.12936	41838.86715	46424.10507	36807.74471	27830.84952	49022.24963	47156.53295	29977.24754	46063.02614	45214.08139	45374.92653	43661.80339	37160.88463	35754.58654	51003.23343	38404.61885	38460.19706	37730.90912	45804.24603	37365.42552	49883.70064	33961.30001	55381.92657	33724.40649	41319.22395	42338.41888	40740.1372	46829.88124	34615.91955	38982.296	33267.57036	34004.21754	31842.57543	46401.44715	42099.0427	41188.42883	31759.07837	40394.36124	36035.13549	39303.25912	39712.59417	33993.40946	43318.067	58603.5709	54729.08662	42540.28585	40903.03252	40225.31928	22410.92496	35205.88197	31592.51522	47528.13811	38916.00832	43824.43571	30099.87001	27564.62099	43422.76124	42265.42706	44996.46097	39561.10622	15593.6437	51545.3502	46439.25587
149.9613_8.74	2274.777571	1251.223562	54866.83442	4323.144607	2096.619178	1612.775986	738.6819621	2470.743523	1398.246108	2064.730015	911.3933689	327.1969824	574.5751484	1771.610562	1441.582299	1833.298295	2345.272078	98621.41875	1024.133167	325.9286606	803.2517785	7679.376864	716.380851	1119.347595	1483.004484	1013.569015	1699.85536	1042.426514	2642.91373	2257.742255	854.8699088	894.2896652	1780.474465	1128.163604	2137.330664	1335.296533	1830.184081	802.2492829	1367.88931	851.2370723	1098.874314	2226.391712	1943.239336	1058.602891	629.0608901	879.5931785	2820.793783	907.8792092	1808.139454	2975.293867	1630.836076	1883.777033	1560.657346	482.8176498	1367.260946	1747.749422	2608.366471	912.4462001	1121.545103	1216.069892	799.5551453	2122.194546	1872.302409	2260.908702	621.9596605	2561.129845	2188.462822	1508.449811	2499.973912	658.8450131	1139.633068	2966.022551	934.1741835	1077.083518	1360.133439	1273.432738	1715.032249	1091.412506	1010.451019	920.7254783	1084.044897	844.7048983	704.7875416	1862.778623	1813.847414	826.7447338	622.7023578	3488.41988	1935.517644	987.8124551	1480.740345	1426.950504	935.8209044	629.6189204	732.3767742	1234.095087	1002.330494	2785.006392	89.71897333	1552.913209	2611.597423	2916.668036	1945.856813	2124.346618	3614.608058	1511.181355	1722.740137	886.2887006	1277.526624	3408.926123
397.1015_20.65	20620.97181	15949.09762	16702.17799	14554.03532	17736.31945	17992.99057	13159.928	18782.52409	13271.47643	14731.47625	12989.99988	14104.59575	14620.04935	21992.12808	17308.39601	16011.02313	13840.65552	19342.2842	12374.22735	14220.21631	12484.80702	13622.13989	11565.16503	14480.39918	19192.48644	9351.670099	18709.58432	11523.4793	18310.55632	18328.53299	14017.38225	16929.72584	18160.36399	19978.15438	17973.32683	13138.19616	16663.36711	15608.79579	15814.33375	9612.184197	19034.05233	25098.81538	14898.00245	25185.12106	26927.68092	24039.19547	13758.05308	13069.53371	14094.89624	20948.29915	14624.83709	15342.14148	17316.75195	15985.69264	13780.8808	13899.09386	12289.3329	14557.49027	19214.04106	14274.99621	15355.52098	24056.60919	15850.0191	10463.38192	14882.35307	23309.87706	12829.11046	19318.1705	16537.97103	16448.70376	15400.4647	18259.77961	16772.92041	14470.20176	21281.43707	11885.31036	13573.87142	17668.53751	13667.09552	18702.05715	16734.63244	15078.02977	16194.62283	16036.93585	15002.37244	13967.27332	15203.55356	11956.19271	21529.55554	23234.50678	13847.00886	15476.39425	12440.37211	13403.62293	25553.03736	13024.74082	16304.96848	15389.87837	16454.4034	15531.37159	18816.92247	14424.30458	15247.02699	14939.01978	21090.13574	14466.70744	12553.03326	15306.25952	20537.87804	19065.14141
353.1116_20.68	12043.54617	9881.827458	9121.747185	8215.629326	11408.51512	10413.67158	7734.962161	10625.35827	6916.917846	9051.891598	6694.587411	9066.262267	8594.663198	13584.54266	10163.51741	9917.023243	8060.11604	10835.32603	7348.058936	8762.762498	8206.678158	9060.356808	6569.798101	7909.39298	10798.69114	5456.05288	11789.11928	9678.33346	10180.89799	10444.14097	8918.04197	9811.245828	10472.94638	12323.04428	11602.2091	8009.077486	9695.990411	9324.899562	7786.927393	6183.012839	12568.85793	15402.17992	8593.181963	15681.18553	18078.70257	12900.35605	7928.265672	8094.562401	7471.080034	11527.49426	8100.62966	8892.047918	9675.417431	10416.87073	7758.042153	7873.920901	6812.243094	8965.043292	11494.92002	8563.424012	8790.630669	14107.14755	9371.680625	5468.881323	8874.616203	13344.14923	7812.623835	12138.09764	9895.972405	9465.320026	8345.716372	10224.05695	10555.9973	7740.329781	12871.14482	7125.109876	7814.416697	8980.739403	8093.23799	10874.98361	10917.92783	9438.427247	10632.02437	9100.65833	8736.406285	7733.883112	10159.55622	7090.062439	13935.70479	13592.82643	7862.358718	9314.211373	7443.681235	8449.982171	15002.62112	7460.751119	10866.03674	8128.998468	10187.94605	8631.970418	10582.81871	7935.250761	7414.999326	8286.869886	11344.37906	9340.361297	7196.684979	9932.713637	13585.86142	11294.23016
